Predicted,Expected
51.434,52.160
52.162,50.927
50.978,49.923
49.989,51.037
51.030,52.586
52.606,52.671
52.702,53.351
53.352,52.679
52.685,53.913
53.969,53.964
53.951,54.585
54.654,54.747
54.726,55.725
55.768,55.588
55.597,54.601
54.671,54.343
54.371,54.549
54.588,54.343
54.397,54.420
54.452,54.832
54.847,54.764
54.802,55.201
55.231,55.313
55.328,55.699
55.740,55.545
55.565,56.841
56.866,57.450
57.446,57.313
57.369,57.132
57.146,56.729
56.774,57.107
57.152,56.935
56.964,57.295
57.341,57.012
57.029,57.459
57.506,57.664
57.675,57.836
57.885,57.278
57.307,57.356
57.401,57.304
57.330,57.587
57.637,57.510
57.532,56.789
56.843,55.836
55.887,55.545
55.594,55.450
55.494,55.364
55.411,55.064
55.096,55.013
55.048,54.952
54.984,55.030
55.069,55.450
55.473,55.759
55.784,54.978
55.022,54.377
54.426,54.995
55.017,54.360
54.409,54.360
54.415,54.369
54.369,54.300
54.359,53.991
54.021,54.309
54.341,55.013
55.028,55.854
55.876,55.768
55.787,54.987
55.031,55.416
55.444,55.116
55.150,53.914
53.993,54.129
54.152,54.266
54.290,54.069
54.131,54.403
54.415,53.923
53.953,54.008
54.059,54.335
54.343,53.545
53.602,53.017
53.065,52.965
52.987,52.116
52.177,52.090
52.137,53.311
53.308,53.207
53.241,53.493
53.531,52.817
52.821,52.939
53.003,53.311
53.317,52.852
52.908,53.233
53.260,49.890
49.952,48.313
48.436,48.894
48.875,49.188
49.279,48.409
48.438,48.539
48.545,51.025
51.010,50.938
50.946,54.255
54.274,55.433
55.348,54.654
54.770,54.541
54.515,54.454
54.482,53.302
53.377,53.441
53.483,52.419
52.438,52.332
52.412,51.042
51.052,52.125
52.187,52.410
52.395,51.501
51.591,53.346
53.330,52.662
52.662,51.241
51.366,51.475
51.446,52.713
52.731,53.372
53.415,51.960
52.001,52.748
52.775,53.302
53.278,53.736
53.810,53.692
53.695,53.415
53.452,53.718
53.744,53.891
53.915,53.891
53.933,53.839
53.865,53.225
53.263,53.406
53.447,53.995
54.006,54.134
54.172,53.935
53.967,54.333
54.353,54.238
54.262,54.056
54.106,54.818
54.829,55.234
55.250,55.251
55.295,55.615
55.629,55.494
55.518,53.490
53.559,53.613
53.667,54.234
54.222,54.120
54.196,53.945
53.973,53.700
53.721,53.499
53.542,53.333
53.368,53.000
53.039,53.700
53.729,53.604
53.619,52.493
52.560,52.869
52.894,53.464
53.466,53.272
53.328,53.272
53.299,53.079
53.096,53.062
53.107,52.983
53.009,52.948
52.985,53.228
53.253,52.860
52.891,52.939
52.982,53.210
53.221,53.937
53.966,53.788
53.806,54.042
54.081,54.094
54.100,53.683
53.733,54.190
54.216,54.321
54.333,54.435
54.484,54.103
54.122,54.969
54.999,55.336
55.337,55.415
55.465,55.599
55.609,55.721
55.748,56.115
56.144,56.430
56.449,57.637
57.655,57.611
57.618,57.454
57.509,58.223
58.222,57.655
57.688,57.471
57.538,57.567
57.569,57.174
57.227,57.322
57.362,57.436
57.452,57.410
57.455,57.830
57.853,57.725
57.748,57.541
57.589,57.270
57.296,57.007
57.051,56.894
56.930,56.964
56.997,56.832
56.867,56.937
56.973,57.340
57.359,56.841
56.878,56.709
56.757,56.876
56.889,56.664
56.709,56.823
56.860,56.240
56.266,56.064
56.119,56.355
56.368,56.391
56.429,57.133
57.160,57.521
57.525,57.468
57.511,58.379
58.390,58.264
58.275,58.741
58.795,58.873
58.868,58.971
59.022,59.404
59.418,59.191
59.222,58.502
58.556,58.467
58.498,58.299
58.329,57.698
57.757,58.370
58.396,58.909
58.912,59.068
59.117,57.760
57.794,57.990
58.041,57.946
57.946,57.822
57.897,58.175
58.186,58.255
58.279,58.599
58.636,58.370
58.389,58.334
58.380,58.334
58.354,58.944
58.977,59.421
59.434,59.651
59.684,59.969
59.988,60.747
60.762,60.755
60.779,61.559
61.594,61.436
61.438,61.559
61.619,62.311
